DeptCode,Year,Month,AccountCode,SaveOption,Amount,UpdateTime,UpdateUser
R12_04_LTN,2017,2,1__1_8__8_2,receive,7440000,04:47.0,D_MMA
R12_04_LTN,2017,5,2__2_1__1_1__7_,receive,7400000,37:44.9,D_MMA
R12_04_LTN,2013,9,2__2_1__1_3,receive,7368995.88,37:22.8,D_DNS
R12_04_LTN,2014,8,2__2_1__1_1__4,receive,7349915,25:22.8,D_DNS
R12_04_LTN,2014,12,2__2_1__1_1__1,receive,7334145,01:22.6,D_DNS
R12_04_LTN,2015,6,2__2_1__1_3,receive,7279960,11:07.3,D_SSM
R12_04_LTN,2015,6,2__2_1__1_3__2_,receive,7279960,11:07.3,D_SSM
R12_04_LTN,2014,3,1__1_3__3_6__4,receive,7279608,24:56.8,D_DNS
R12_04_LTN,2015,7,1__1_3__3_6__3_4_,receive,7250476,13:51.7,D_SSM
R12_04_LTN,2015,3,1__1_3__3_6__3_5_,receive,7218676,32:10.3,D_DNS
R12_04_LTN,2015,1,1__1_3__3_6__3_5_,receive,7175571,38:28.3,D_DNS
R12_04_LTN,2017,3,1__1_3__3_6__4,receive,7131323,40:54.9,D_MMA
R12_04_LTN,2015,11,2__2_1__1_1__4,receive,7067740,26:49.5,D_SSM
R12_04_LTN,2017,6,2__2_1__1_1__4,receive,7012281,54:05.4,D_EKTW
R12_04_LTN,2015,8,2__2_1__1_1__7_,receive,7000000,18:09.1,D_SSM
R12_04_LTN,2016,10,2__2_1__1_3__3,receive,7000000,59:46.8,D_MMA
R12_04_LTN,2015,2,1__1_3__3_6__4,receive,6956412,08:47.9,D_DNS
R12_04_LTN,2016,12,2__2_1__1_3,receive,6881428.9,07:48.5,D_MMA
R12_04_LTN,2016,12,2__2_1__1_3__2_,receive,6881428.9,07:48.5,D_MMA
R12_04_LTN,2014,4,1__1_3__3_6__3_3_3,receive,6727157,15:12.3,D_DNS
R12_04_LTN,2014,1,2__2_1__1_4,receive,6687924,14:04.3,D_DNS
R12_04_LTN,2013,4,2__2_1__1_1__4,receive,6653029,21:01.7,D_DNS
R12_04_LTN,2016,2,1__1_3__3_6__4,receive,6603716,28:13.5,D_SSM
R12_04_LTN,2013,6,1__1_8__8_1,receive,6557100,26:40.2,D_DNS
R12_04_LTN,2015,7,2__2_1__1_1__6,receive,6550000,13:51.7,D_SSM
R12_04_LTN,2014,3,1__1_3__3_6__3_5_,receive,6543714,24:56.8,D_DNS
R12_04_LTN,2014,3,2__2_1__1_4,receive,6536469,24:56.8,D_DNS
R12_04_LTN,2015,3,2__2_1__1_4,receive,6469887,32:10.3,D_DNS
R12_04_LTN,2016,2,2__2_1__1_1__3,receive,6447682,28:13.5,D_SSM
R12_04_LTN,2014,11,1__1_8__8_1,receive,6372365,26:18.1,D_DNS
R12_04_LTN,2017,3,2__2_1__1_4,receive,6308776,40:54.9,D_MMA
R12_04_LTN,2016,9,1__1_3__3_6__3_5_,receive,6291095,15:23.9,D_MMA
R12_04_LTN,2015,3,1__1_3__3_6__4,receive,6202386,32:10.3,D_DNS
R12_04_LTN,2016,6,1__11__1__1_3,receive,6192000,26:23.7,D_MMA
R12_04_LTN,2017,1,1__1_3__3_6__4,receive,6182367,24:56.2,D_MMA
R12_04_LTN,2017,2,2__2_1__1_3__3,receive,6150000,04:47.0,D_MMA
