DeptCode,Year,Month,SaveOption,Amount,UpdateTime,UpdateUser
R12_04_LTN,2015,11,receive,7067740,26:49.5,D_SSM
R12_04_LTN,2017,6,receive,7012281,54:05.4,D_EKTW
R12_04_LTN,2015,8,receive,7000000,18:09.1,D_SSM
R12_04_LTN,2016,10,receive,7000000,59:46.8,D_MMA
R12_04_LTN,2015,2,receive,6956412,08:47.9,D_DNS
R12_04_LTN,2016,12,receive,6881428.9,07:48.5,D_MMA
R12_04_LTN,2016,12,receive,6881428.9,07:48.5,D_MMA
R12_04_LTN,2014,4,receive,6727157,15:12.3,D_DNS
R12_04_LTN,2014,1,receive,6687924,14:04.3,D_DNS
R12_04_LTN,2013,4,receive,6653029,21:01.7,D_DNS
R12_04_LTN,2016,2,receive,6603716,28:13.5,D_SSM
R12_04_LTN,2013,6,receive,6557100,26:40.2,D_DNS
R12_04_LTN,2015,7,receive,6550000,13:51.7,D_SSM
R12_04_LTN,2014,3,receive,6543714,24:56.8,D_DNS
R12_04_LTN,2014,3,receive,6536469,24:56.8,D_DNS
R12_04_LTN,2015,3,receive,6469887,32:10.3,D_DNS
R12_04_LTN,2016,2,receive,6447682,28:13.5,D_SSM
R12_04_LTN,2014,11,receive,6372365,26:18.1,D_DNS
R12_04_LTN,2017,3,receive,6308776,40:54.9,D_MMA
R12_04_LTN,2016,9,receive,6291095,15:23.9,D_MMA
R12_04_LTN,2015,3,receive,6202386,32:10.3,D_DNS
R12_04_LTN,2016,6,receive,6192000,26:23.7,D_MMA
R12_04_LTN,2017,1,receive,6182367,24:56.2,D_MMA
R12_04_LTN,2017,2,receive,6150000,04:47.0,D_MMA
R12_04_LTN,2015,7,receive,6122040,13:51.7,D_SSM
R12_04_LTN,2014,9,receive,6120726.98,07:55.5,D_DNS
R12_04_LTN,2016,10,receive,6094896.38,59:46.8,D_MMA
R12_04_LTN,2013,5,receive,6078995,21:17.5,D_DNS
R12_04_LTN,2016,11,receive,6070061.4,59:41.9,D_MMA
R12_04_LTN,2014,6,receive,6046172,15:51.9,D_DNS
R12_04_LTN,2014,9,receive,6036469.16,07:55.5,D_DNS
R12_04_LTN,2015,2,receive,6021951,08:47.9,D_DNS
R12_04_LTN,2015,6,receive,5998205,11:07.3,D_SSM
R12_04_LTN,2014,8,receive,5966571,25:22.8,D_DNS
R12_04_LTN,2016,7,receive,5902178,54:56.4,D_MMA
R12_04_LTN,2015,4,receive,5868015,46:47.4,D_SSM
R12_04_LTN,2017,5,receive,5868000,37:44.9,D_MMA
R12_04_LTN,2015,8,receive,5858929.34,18:09.1,D_SSM
R12_04_LTN,2013,7,receive,5857723.05,27:57.6,D_DNS
R12_04_LTN,2014,4,receive,5845000,15:12.3,D_DNS
R12_04_LTN,2015,4,receive,5820000,46:47.4,D_SSM
R12_04_LTN,2014,10,receive,5800000,26:19.7,D_DNS
R12_04_LTN,2014,11,receive,5791537.51,26:18.1,D_DNS
R12_04_LTN,2014,11,receive,5791537.51,26:18.1,D_DNS
R12_04_LTN,2017,2,receive,5754450,04:47.0,D_MMA
R12_04_LTN,2014,12,receive,5736160,01:22.6,D_DNS
R12_04_LTN,2013,11,receive,5722867,38:07.6,D_DNS
R12_04_LTN,2016,7,receive,5684541.6,54:56.4,D_MMA
R12_04_LTN,2016,11,receive,5677080,59:41.9,D_MMA
R12_04_LTN,2016,1,receive,5647235,27:44.3,D_SSM
R12_04_LTN,2013,4,receive,5621935,21:01.7,D_DNS
R12_04_LTN,2013,5,receive,5581825,21:17.5,D_DNS
R12_04_LTN,2015,3,receive,5575000,32:10.3,D_DNS
R12_04_LTN,2017,6,receive,5504760,54:05.4,D_EKTW
R12_04_LTN,2017,3,receive,5482691,40:54.9,D_MMA
R12_04_LTN,2015,5,receive,5461305,47:16.0,D_SSM
R12_04_LTN,2016,2,receive,5454629,28:13.5,D_SSM
R12_04_LTN,2016,6,receive,5409953,26:23.7,D_MMA
R12_04_LTN,2015,1,receive,5403946,38:28.3,D_DNS
R12_04_LTN,2016,11,receive,5273305,59:41.9,D_MMA
R12_04_LTN,2017,2,receive,5238700,04:47.0,D_MMA
R12_04_LTN,2016,1,receive,5191586,27:44.3,D_SSM
R12_04_LTN,2016,8,receive,5176286,43:35.4,D_MMA
R12_04_LTN,2016,10,receive,5157215,59:46.8,D_MMA
R12_04_LTN,2013,5,receive,5145000,21:17.5,D_DNS
R12_04_LTN,2015,12,receive,5142742,27:18.2,D_SSM
R12_04_LTN,2016,12,receive,5086564,07:48.5,D_MMA
R12_04_LTN,2017,2,receive,4993928,04:47.0,D_MMA
R12_04_LTN,2016,11,receive,4904066,59:41.9,D_MMA
R12_04_LTN,2017,1,receive,4900000,24:56.2,D_MMA
R12_04_LTN,2016,7,receive,4819900,54:56.4,D_MMA
R12_04_LTN,2017,2,receive,4816852,04:47.0,D_MMA
R12_04_LTN,2014,8,receive,4803326.5,25:22.8,D_DNS
R12_04_LTN,2014,2,receive,4738612,00:40.2,D_YYS
R12_04_LTN,2015,8,receive,4697143,18:09.1,D_SSM
R12_04_LTN,2013,9,receive,4695000,37:22.8,D_DNS
R12_04_LTN,2016,11,receive,4662453.3,59:41.9,D_MMA
R12_04_LTN,2016,11,receive,4662453.3,59:41.9,D_MMA
R12_04_LTN,2016,3,receive,4641645,04:04.2,D_SSM
R12_04_LTN,2014,3,receive,4640000,24:56.8,D_DNS
R12_04_LTN,2017,1,receive,4632537,24:56.2,D_MMA
R12_04_LTN,2015,6,receive,4614447,11:07.3,D_SSM
R12_04_LTN,2015,12,receive,4547541,27:18.2,D_SSM
R12_04_LTN,2013,7,receive,4530652.84,27:57.6,D_DNS
R12_04_LTN,2016,3,receive,4530000,04:04.2,D_SSM
R12_04_LTN,2017,2,receive,4512000,04:47.0,D_MMA
R12_04_LTN,2013,12,receive,4464063,35:15.5,D_DNS4
R12_04_LTN,2015,2,receive,4430700,08:47.9,D_DNS
R12_04_LTN,2014,2,receive,4390164,00:40.2,D_YYS
R12_04_LTN,2013,12,receive,4372086,35:15.5,D_DNS4
R12_04_LTN,2017,5,receive,4328572,37:44.9,D_MMA
R12_04_LTN,2014,1,receive,4320467,14:04.3,D_DNS
R12_04_LTN,2016,3,receive,4300000,04:04.2,D_SSM
R12_04_LTN,2014,5,receive,4239702,15:32.3,D_DNS
R12_04_LTN,2015,7,expense,4237612.9,13:51.7,D_SSM
R12_04_LTN,2014,3,receive,4192071.18,24:56.8,D_DNS
R12_04_LTN,2016,9,receive,4172864,15:23.9,D_MMA
R12_04_LTN,2015,5,receive,4171071,47:16.0,D_SSM
R12_04_LTN,2013,4,receive,4154806.14,21:01.7,D_DNS
R12_04_LTN,2016,10,receive,4125569.62,59:46.8,D_MMA
R12_04_LTN,2016,2,receive,4100000,28:13.5,D_SSM
R12_04_LTN,2016,1,receive,4100000,27:44.3,D_SSM
R12_04_LTN,2015,6,expense,4054000,11:07.3,D_SSM
R12_04_LTN,2016,10,receive,4048805,59:46.8,D_MMA
R12_04_LTN,2015,10,expense,3996500,24:30.7,D_SSM
R12_04_LTN,2015,8,expense,3996500,18:09.1,D_SSM
R12_04_LTN,2015,9,expense,3996500,18:41.2,D_SSM
R12_04_LTN,2013,11,receive,3960000,38:07.6,D_DNS
R12_04_LTN,2016,8,expense,3946064.52,43:35.4,D_MMA
R12_04_LTN,2015,11,expense,3946024.19,26:49.5,D_SSM
R12_04_LTN,2017,5,expense,3921000,37:44.9,D_MMA
R12_04_LTN,2017,4,receive,3900000,09:45.8,D_MMA
R12_04_LTN,2016,7,expense,3887935.48,54:56.4,D_MMA
R12_04_LTN,2016,11,receive,3887199,59:41.9,D_MMA
R12_04_LTN,2016,3,expense,3847193.55,04:04.2,D_SSM
R12_04_LTN,2016,2,expense,3847000,28:13.5,D_SSM
R12_04_LTN,2016,1,expense,3847000,27:44.3,D_SSM
R12_04_LTN,2015,12,expense,3847000,27:18.2,D_SSM
R12_04_LTN,2014,12,receive,3843054,01:22.6,D_DNS
R12_04_LTN,2014,9,receive,3826048,07:55.5,D_DNS
R12_04_LTN,2016,11,expense,3817354.84,59:41.9,D_MMA
R12_04_LTN,2016,12,expense,3811472.43,07:48.5,D_MMA
R12_04_LTN,2017,1,receive,3805000,24:56.2,D_MMA
R12_04_LTN,2016,10,expense,3803935.48,59:46.8,D_MMA
R12_04_LTN,2016,9,expense,3792703.91,15:23.9,D_MMA
R12_04_LTN,2016,12,receive,3789000,07:48.5,D_MMA
